query_index,query_cut
1926,audio-1499267014-1926
3307,audio-1499266199-headset-3307
982,audio-1497555591-headset-982
7293,audio-1502309660-7293
4666,audio-1502100290-4666
2016,audio-1490106038-2016
4742,audio-1490287389-headset-4742
4870,audio-1501753132-4870
325,audio-1490021002-headset-325
5073,audio-1501156389-headset-5073
671,audio-1489154849-671
3434,audio-1490955473-3434
5385,audio-1502197492-headset-5385
4781,audio-1498484871-4781
4630,audio-1502376371-4630
4282,audio--1504195316-4282
2591,audio-1490200896-headset-2591
2136,audio-1502309351-2136
1673,audio-1501774395-headset-1673
5486,audio-1490287417-5486
5867,audio-1490008561-5867
2573,audio-1434532797-headset-2573
1955,audio-1500036907-headset-1955
2175,audio-1500039609-headset-2175
3242,audio-1488970741-3242
1072,audio-1502200153-1072
7675,audio-1502376626-7675
5287,audio-1502197873-headset-5287
2457,audio-1490263672-headset-2457
3745,audio--1504197881-3745
2590,audio-1502216433-2590
6159,audio-1502308833-headset-6159
594,audio-1502375014-594
76,audio-1490967578-76
3754,audio-1490005788-headset-3754
5088,audio-1502201265-5088
4612,audio-1502101313-headset-4612
819,audio-1498564971-819
600,audio-1499360608-600
4404,audio-1490286754-headset-4404
1746,audio-1500388065-headset-1746
4144,audio-1502374771-4144
7562,audio-1502099804-7562
1085,audio-1495376236-1085
2859,audio-1490198264-headset-2859
7216,audio-1497860844-headset-7216
563,audio-1502891080-headset-563
7202,audio-1501158026-headset-7202
2001,audio-1501752435-headset-2001
3027,audio-1501696229-headset-3027
2334,audio-1434532196-headset-2334
1292,audio-1497862840-headset-1292
3589,audio-1501696088-3589
6830,audio-1501768081-headset-6830
4450,audio-1498485256-headset-4450
5763,audio-1490195332-headset-5763
2478,audio-1497864692-2478
5010,audio-1492784686-headset-5010
7900,audio-1501756014-7900
5357,audio-1501691841-headset-5357
4333,audio-1501768799-headset-4333
64,audio-1490261263-headset-64
5471,audio-1502300364-headset-5471
6693,audio-1502895066-headset-6693
4543,audio-1492783193-4543
2452,audio-1490103759-2452
5434,audio-1494422229-headset-5434
848,audio-1490369766-848
7193,audio-1497271580-7193
1100,audio-1500900757-1100
7901,audio-1488984518-7901
945,audio-1490960771-headset-945
7288,audio-1497867008-7288
876,audio-1501759065-876
6081,audio-1497865028-headset-6081
7770,audio-1501692899-headset-7770
7914,audio-1497029528-headset-7914
2231,audio-1499361856-2231
2308,audio-1494418111-2308
4954,audio-1502890965-4954
1725,audio-1502309018-1725
5878,audio-1490359865-headset-5878
2808,audio-1502308546-headset-2808
1667,audio-1489153218-1667
5631,audio-1488563907-5631
5195,audio-1501686439-5195
6987,audio-1492786079-headset-6987
2162,audio-1499697279-2162
4140,audio--1506521004-4140
7719,audio-1501753643-7719
2057,audio-1501778324-headset-2057
7416,audio-1497192107-7416
6931,audio-1502215844-headset-6931
416,audio--1506079516-headset-416
756,audio-1488559954-756
5196,audio-1497262974-headset-5196
7621,audio-1494416182-headset-7621
7889,audio--1506521206-7889
2266,audio-1490801943-headset-2266
361,audio-1499692951-headset-361
29,audio-1490288224-headset-29
2732,audio-1501691353-headset-2732
6317,audio-1502300210-headset-6317
1071,audio-1502200153-headset-1071
5219,audio-1490357227-headset-5219
2145,audio-1501608962-2145
7728,audio-1501767275-7728
6072,audio-1501774167-headset-6072
3619,audio--1506521679-3619
4519,audio-1494421815-4519
5780,audio-1502376727-5780
3503,audio-1489154243-3503
4594,audio-1500978920-headset-4594
79,audio-1498485897-headset-79
7717,audio-1490182883-7717
616,audio--1505407237-headset-616
7234,audio-1434532264-headset-7234
5660,audio-1501771706-headset-5660
1221,audio-1497884153-headset-1221
4469,audio-1494512463-4469
295,audio-1497025085-headset-295
6837,audio-1500035110-6837
3024,audio--1504197832-3024
4771,audio-1498574145-4771
4526,audio-1501756492-4526
1213,audio-1502200705-1213
3520,audio-1490370194-headset-3520
1044,audio-1495734990-headset-1044
342,audio-1490290867-342
2525,audio--1504193142-headset-2525
2987,audio-1498571273-2987
7364,audio-1501752828-7364
6521,audio-1501776249-6521
7050,audio-1501754193-7050
326,audio-1490021002-326
7363,audio-1501752828-headset-7363
2931,audio-1434541615-2931
1720,audio-1501692310-headset-1720
5587,audio-1502099384-5587
2044,audio-1497274696-2044
5463,audio-1497439799-headset-5463
842,audio-1497264849-headset-842
2897,audio-1501765540-headset-2897
6390,audio-1489151799-6390
4586,audio-1501758093-4586
7242,audio-1498485303-7242
7165,audio-1490705888-headset-7165
7574,audio-1494418444-7574
5084,audio-1495734657-5084
6139,audio-1488984345-6139
1266,audio--1504198735-headset-1266
1939,audio-1502890095-1939
7082,audio-1498572402-headset-7082
1331,audio-1499698164-1331
6552,audio-1497882582-6552
6641,audio--1504192211-6641
1450,audio-1501690461-headset-1450
7220,audio-1490008417-headset-7220
3377,audio--1504195438-3377
203,audio-1490194892-203
1469,audio-1490019483-headset-1469
7952,audio-1501754023-7952
2721,audio-1434540680-2721
6409,audio-1492779642-headset-6409
3372,audio-1494420886-headset-3372
6571,audio-1497864230-headset-6571
5487,audio-1501752363-headset-5487
7078,audio-1501758347-headset-7078
6021,audio-1494421572-6021
7388,audio-1490107266-headset-7388
2032,audio-1490203556-2032
7759,audio-1498570806-headset-7759
1304,audio-1490106450-headset-1304
6450,audio-1497886295-headset-6450
5744,audio-1500980198-headset-5744
885,audio-1502200245-885
3133,audio-1499090145-headset-3133
7144,audio-1497887162-headset-7144
317,audio-1490182575-317
7033,audio-1502200898-7033
3855,audio-1502217225-headset-3855
1822,audio-1502376526-headset-1822
1634,audio-1501768549-headset-1634
6689,audio--1504191460-headset-6689
3770,audio-1490357027-headset-3770
2864,audio-1490183575-headset-2864
2500,audio-1490368370-headset-2500
6721,audio-1502895872-headset-6721
6515,audio-1500039035-headset-6515
7137,audio-1501753500-7137
1864,audio-1489153814-1864
1826,audio-1498646746-headset-1826
193,audio-1502375337-193
5406,audio--1504198097-headset-5406
1582,audio-1498574264-1582
3264,audio-1497862945-headset-3264
2689,audio-1501751693-headset-2689
2282,audio-1501151326-headset-2282
7080,audio-1502377697-headset-7080
568,audio-1488552972-568
6335,audio-1490287739-headset-6335
2286,audio-1499696049-headset-2286
2876,audio-1497868754-2876
5255,audio-1494421374-headset-5255
4173,audio-1501691300-headset-4173
3274,audio-1502891865-3274
5566,audio-1502377752-headset-5566
6911,audio-1502197774-headset-6911
7896,audio--1505406509-headset-7896
2712,audio-1489153163-2712
226,audio-1490106265-226
944,audio-1434530432-headset-944
7184,audio-1501173032-headset-7184
2139,audio-1501697689-headset-2139
1462,audio--1504191123-1462
4756,audio-1490182353-4756
2174,audio-1490109372-2174
313,audio-1489153142-313
888,audio-1490201313-headset-888
4887,audio--1504193117-headset-4887
3559,audio-1501776383-headset-3559
2831,audio-1498568059-headset-2831
5968,audio-1495378337-headset-5968
6442,audio-1501764447-6442
7539,audio-1490286868-7539
3574,audio-1501763734-3574
4966,audio-1498577839-4966
4189,audio--1504191520-headset-4189
947,audio-1494418788-947
3155,audio-1489671940-headset-3155
4723,audio-1502890917-headset-4723
1557,audio-1501689853-1557
2086,audio-1502377672-headset-2086
363,audio-1499693062-headset-363
5806,audio-1497881738-5806
3572,audio-1490957237-headset-3572
13,audio-1490105767-13
4259,audio-1434536310-headset-4259
6606,audio-1494418538-6606
4410,audio-1490288553-headset-4410
5626,audio-1499090287-5626
5893,audio-1497884858-headset-5893
6078,audio-1494606853-6078
6037,audio-1490967297-headset-6037
5493,audio--1504195056-headset-5493
1614,audio-1501689900-headset-1614
2983,audio-1497881782-headset-2983
3533,audio-1498485027-headset-3533
573,audio-1499360487-573
5441,audio-1502216630-5441
2704,audio-1498565379-2704
5104,audio-1499697719-headset-5104
2571,audio-1490103985-headset-2571
7453,audio-1496265438-headset-7453
6946,audio-1497267569-headset-6946
1020,audio-1501773170-1020
5896,audio-1501694617-5896
2460,audio-1490292213-2460
4154,audio-1502894668-4154
2533,audio--1504194300-headset-2533
7379,audio-1498758315-7379
3345,audio-1494548474-headset-3345
2672,audio-1501764466-headset-2672
3296,audio-1501764396-headset-3296
5711,audio-1501766485-headset-5711
2422,audio-1490199347-2422
4541,audio-1498482825-4541
1042,audio-1495733447-headset-1042
1571,audio-1490955189-1571
3444,audio-1498572711-headset-3444
5447,audio-1490008661-5447
3105,audio-1497024566-3105
5548,audio-1488558290-5548
6128,audio-1501686347-headset-6128
1425,audio-1495377917-1425
5042,audio-1490960684-headset-5042
4662,audio-1498566815-4662
2465,audio-1500979306-2465
3326,audio-1502894847-headset-3326
4488,audio-1501152862-4488
6829,audio-1501757519-headset-6829
3,audio-1501767950-headset-3
2489,audio-1497879680-headset-2489
2350,audio-1494422850-headset-2350
1721,audio-1501692310-1721
3521,audio-1490370194-3521
6436,audio-1497868010-headset-6436
4751,audio-1434536788-headset-4751
7687,audio-1502300283-7687
5363,audio-1497269825-5363
2639,audio-1497883633-2639
3809,audio-1492784702-headset-3809
7411,audio-1498567807-7411
3622,audio-1500899973-headset-3622
5534,audio-1490355007-headset-5534
1750,audio-1497438191-headset-1750
4187,audio-1502302100-headset-4187
3876,audio--1506079773-3876
6502,audio-1501688081-6502
7387,audio-1434541805-7387
6028,audio-1501414509-headset-6028
1390,audio-1434542887-1390
5397,audio-1499698041-5397
694,audio-1494548241-694
2324,audio-1501765068-2324
4222,audio-1502098863-4222
5438,audio-1502197237-headset-5438
5185,audio-1499088069-5185
5072,audio-1490006251-headset-5072
2745,audio-1494549010-2745
765,audio-1501768534-765
6704,audio-1501767322-headset-6704
6153,audio-1502374795-headset-6153
1924,audio-1498483119-1924
5511,audio--1504190935-5511
2542,audio-1490184513-2542
7666,audio-1498564709-headset-7666
6607,audio-1497882400-headset-6607
1631,audio-1496937888-1631
1207,audio-1492780838-1207
200,audio-1500039533-200
378,audio-1490798983-headset-378
7847,audio-1490200141-headset-7847
3892,audio-1489673897-headset-3892
5007,audio-1488639671-5007
6961,audio-1497884028-headset-6961
6295,audio-1497880354-headset-6295
596,audio-1501688184-headset-596
3730,audio-1434539470-headset-3730
3395,audio--1505404838-headset-3395
5159,audio-1488971060-5159
4715,audio-1492785178-headset-4715
1592,audio-1498568292-1592
5884,audio-1502194762-headset-5884
5704,audio-1488970877-5704
3145,audio-1490354675-headset-3145
4049,audio-1502100312-4049
3273,audio-1502891865-headset-3273
1998,audio-1501756861-1998
1208,audio-1495372151-headset-1208
5374,audio-1494512847-headset-5374
5633,audio-1499266334-5633
45,audio-1497368264-45
7760,audio-1498570806-7760
7048,audio-1501690771-headset-7048
6308,audio-1494512091-headset-6308
873,audio-1494514485-873
6376,audio-1501157082-6376
3482,audio-1490802118-headset-3482
1792,audio-1492784894-headset-1792
1440,audio--1504197392-headset-1440
6587,audio-1501688280-6587
5700,audio-1490704641-headset-5700
4243,audio-1498646454-4243
3805,audio-1497880054-headset-3805
411,audio--1504197806-headset-411
4566,audio-1502375938-4566
2041,audio-1494418635-headset-2041
6949,audio-1502895922-6949
994,audio-1499090256-994
3739,audio-1501757005-headset-3739
1092,audio-1497872542-headset-1092
6565,audio-1501692127-headset-6565
3806,audio-1497880054-3806
5468,audio-1501759275-5468
4351,audio-1501759157-headset-4351
4578,audio-1490020904-4578
4877,audio-1497865595-headset-4877
2599,audio-1498574205-headset-2599
7682,audio-1490705108-headset-7682
3625,audio--1504192726-headset-3625
5018,audio-1497881771-headset-5018
6676,audio-1490957415-headset-6676
5892,audio-1499361233-5892
4135,audio-1490007004-4135
3495,audio-1501687132-3495
6804,audio-1498485260-headset-6804
7240,audio-1495370134-7240
3652,audio-1501691010-3652
1303,audio-1490198229-headset-1303
6092,audio-1501776349-6092
7057,audio-1490360188-headset-7057
3888,audio-1490367408-3888
3686,audio-1502113279-headset-3686
2123,audio-1501415057-headset-2123
6158,audio--1506520685-6158
2025,audio-1502895062-headset-2025
6880,audio-1501690837-headset-6880
5223,audio-1497437055-5223
2271,audio-1490195021-2271
7697,audio-1502895414-7697
6370,audio-1498565714-headset-6370
4270,audio--1504192936-4270
3969,audio-1490801147-headset-3969
5134,audio-1502375190-5134
1959,audio-1490957867-headset-1959
2249,audio-1502195517-2249
3603,audio-1498566786-headset-3603
634,audio-1490283006-headset-634
5845,audio-1502376242-5845
2340,audio-1490201269-2340
1920,audio-1488983170-1920
2225,audio-1497884515-headset-2225
2751,audio-1489153367-2751
2619,audio-1490195767-headset-2619
4424,audio-1502099417-headset-4424
660,audio-1497558346-headset-660
7792,audio-1490286503-headset-7792
1235,audio-1499692267-1235
1894,audio-1498570589-headset-1894
3137,audio-1494548746-headset-3137
5684,audio-1490107718-5684
1251,audio-1502200837-headset-1251
5786,audio-1497884188-5786
1752,audio-1490802280-headset-1752
526,audio-1501775683-headset-526
3398,audio-1502100016-3398
3339,audio-1497029086-3339
2710,audio-1502890871-headset-2710
4445,audio-1490198424-headset-4445
3816,audio-1499695730-3816
3406,audio-1490956811-headset-3406
510,audio-1490705748-headset-510
1694,audio-1497262740-1694
6823,audio-1498568368-6823
3441,audio-1490194380-3441
3190,audio-1501687487-headset-3190
6306,audio-1434542735-6306
4784,audio-1490802270-headset-4784
5697,audio-1497868805-5697
160,audio-1502112173-160
7018,audio-1501754231-7018
6271,audio-1490195797-headset-6271
4716,audio-1492785178-4716
3116,audio-1434533355-headset-3116
3907,audio-1497268760-3907
48,audio-1501778761-headset-48
2881,audio-1499267168-headset-2881
2446,audio-1502216242-2446
6172,audio-1498566621-headset-6172
3194,audio-1494416990-headset-3194
6991,audio-1488974125-6991
6846,audio-1501773326-headset-6846
3432,audio--1506520690-3432
4409,audio-1490105999-4409
6123,audio-1500037123-headset-6123
6018,audio-1497881955-6018
4473,audio-1495378669-4473
7365,audio-1490957719-headset-7365
4941,audio-1502891226-headset-4941
1806,audio-1502299514-headset-1806
3999,audio--1504192153-headset-3999
1797,audio-1501689893-1797
2235,audio-1502195035-2235
3570,audio-1499267031-3570
7573,audio-1494418444-headset-7573
237,audio--1504190584-237
3185,audio-1502199419-headset-3185
2753,audio-1502201133-headset-2753
5479,audio-1497437620-5479
5563,audio-1497269817-5563
6538,audio-1490286759-headset-6538
3312,audio-1494548477-3312
5932,audio-1501767814-headset-5932
7691,audio-1488556460-7691
6885,audio-1502310008-6885
3828,audio-1502374829-headset-3828
1045,audio-1495734990-1045
5097,audio-1490262635-headset-5097
7849,audio-1502100238-headset-7849
220,audio-1490356700-headset-220
3227,audio-1502200910-3227
4848,audio-1489672045-4848
4623,audio--1504194416-4623
5431,audio-1497028938-5431
222,audio-1500389012-headset-222
687,audio--1505406513-headset-687
